version,id,name,tier,rarity,types,pe,ability,moves,img
Galaxy V2,2-2-011,Metagross,Star Pokémon,5★ Star (holofoil),"Steel, Psychic",144,Mega Evolution,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-011_f.png
Galaxy V2,2-2-012,Haxorus,Star Pokémon,5★ Star (holofoil),Dragon,132,Z-Move,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-012_f.png
Galaxy V2,2-2-013,Aerodactyl,Star Pokémon,5★ Star (holofoil),"Rock, Flying",128,Z-Move,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-013_f.png
Galaxy V2,2-2-014,Dracozolt,Star Pokémon,5★ Star (holofoil),"Electric, Dragon",138,Dynamax,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-014_f.png
Galaxy V2,2-2-015,Dracovish,Star Pokémon,5★ Star (holofoil),"Water, Dragon",138,Dynamax,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-015_f.png
Galaxy V2,2-2-016,Alakazam,Star Pokémon,5★ Star (holofoil),Psychic,128,Dynamax,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-016_f.png
Galaxy V2,2-2-017,Arctozolt,Star Pokémon,5★ Star (holofoil),"Ice, Electric",136,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-017_f.png
Galaxy V2,2-2-018,Golisopod,Star Pokémon,5★ Star (holofoil),"Bug, Water",132,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-018_f.png
Galaxy V2,2-2-019,Serperior,Star Pokémon,5★ Star (holofoil),Grass,144,Chain Tag,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-019_f.png
Galaxy V2,2-2-020,Emboar,Star Pokémon,5★ Star (holofoil),"Fire, Fighting",144,Chain Tag,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-020_f.png
Galaxy V2,2-2-021,Samurott,Star Pokémon,5★ Star (holofoil),Water,144,Chain Tag,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-021_f.png
Galaxy V2,2-2-022,Iron Treads,Star Pokémon,5★ Star (holofoil),Ground,148,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-022_f.png
Galaxy V2,2-2-023,Poipole,Star Pokémon,5★ Star (holofoil),Poison,110,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-023_f.png
Galaxy V2,2-2-024,Hatterene,Star Pokémon,5★ Star (holofoil),"Psychic, Fairy",128,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-024_f.png
Galaxy V2,2-2-025,Absol,Star Pokémon,5★ Star (holofoil),Dark,130,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-025_f.png
Galaxy V2,2-2-026,Floragato,★2~4 Pokémon,2★-4★ standard pool,Grass,84,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-026_f.png
Galaxy V2,2-2-027,Meowscarada,★2~4 Pokémon,2★-4★ standard pool,"Grass, Dark",118,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-027_f.png
Galaxy V2,2-2-028,Crocalor,★2~4 Pokémon,2★-4★ standard pool,Fire,84,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-028_f.png
Galaxy V2,2-2-029,Skeledirge,★2~4 Pokémon,2★-4★ standard pool,"Fire, Ghost",118,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-029_f.png
Galaxy V2,2-2-030,Quaxwell,★2~4 Pokémon,2★-4★ standard pool,Water,84,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-030_f.png
Galaxy V2,2-2-031,Quaquaval,★2~4 Pokémon,2★-4★ standard pool,"Water, Fighting",118,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-031_f.png
Galaxy V2,2-2-032,Snivy,★2~4 Pokémon,2★-4★ standard pool,Grass,46,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-032_f.png
Galaxy V2,2-2-033,Servine,★2~4 Pokémon,2★-4★ standard pool,Grass,84,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-033_f.png
Galaxy V2,2-2-034,Serperior,★2~4 Pokémon,2★-4★ standard pool,Grass,118,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-034_f.png
Galaxy V2,2-2-035,Tepig,★2~4 Pokémon,2★-4★ standard pool,Fire,46,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-035_f.png
Galaxy V2,2-2-036,Pignite,★2~4 Pokémon,2★-4★ standard pool,"Fire, Fighting",86,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-036_f.png
Galaxy V2,2-2-037,Emboar,★2~4 Pokémon,2★-4★ standard pool,"Fire, Fighting",118,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-037_f.png
Galaxy V2,2-2-038,Oshawott,★2~4 Pokémon,2★-4★ standard pool,Water,46,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-038_f.png
Galaxy V2,2-2-039,Dewott,★2~4 Pokémon,2★-4★ standard pool,Water,84,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-039_f.png
Galaxy V2,2-2-040,Samurott,★2~4 Pokémon,2★-4★ standard pool,Water,118,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-040_f.png
Galaxy V2,2-2-041,Poliwag,★2~4 Pokémon,2★-4★ standard pool,Water,42,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-041_f.png
Galaxy V2,2-2-042,Poliwhirl,★2~4 Pokémon,2★-4★ standard pool,Water,74,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-042_f.png
Galaxy V2,2-2-043,Poliwrath,★2~4 Pokémon,2★-4★ standard pool,"Water, Fighting",108,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-043_f.png
Galaxy V2,2-2-044,Feebas,★2~4 Pokémon,2★-4★ standard pool,Water,32,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-044_f.png
Galaxy V2,2-2-045,Milotic,★2~4 Pokémon,2★-4★ standard pool,Water,112,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-045_f.png
Galaxy V2,2-2-046,Tynamo,★2~4 Pokémon,2★-4★ standard pool,Electric,42,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-046_f.png
Galaxy V2,2-2-047,Eelektrik,★2~4 Pokémon,2★-4★ standard pool,Electric,82,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-047_f.png
Galaxy V2,2-2-048,Eelektross,★2~4 Pokémon,2★-4★ standard pool,Electric,112,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-048_f.png
Galaxy V2,2-2-049,Ralts,★2~4 Pokémon,2★-4★ standard pool,Psychic,34,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-049_f.png
Galaxy V2,2-2-050,Kirlia,★2~4 Pokémon,2★-4★ standard pool,Psychic,60,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-050_f.png
Galaxy V2,2-2-051,Gardevoir,★2~4 Pokémon,2★-4★ standard pool,"Psychic, Fairy",114,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-051_f.png
Galaxy V2,2-2-052,Gallade,★2~4 Pokémon,2★-4★ standard pool,"Psychic, Fighting",114,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-052_f.png
Galaxy V2,2-2-053,Venipede,★2~4 Pokémon,2★-4★ standard pool,"Bug, Poison",40,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-053_f.png
Galaxy V2,2-2-054,Whirlipede,★2~4 Pokémon,2★-4★ standard pool,"Bug, Poison",76,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-054_f.png
Galaxy V2,2-2-055,Scolipede,★2~4 Pokémon,2★-4★ standard pool,"Bug, Poison",110,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-055_f.png
Galaxy V2,2-2-056,Skwovet,★2~4 Pokémon,2★-4★ standard pool,Normal,40,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-056_f.png
Galaxy V2,2-2-057,Greedent,★2~4 Pokémon,2★-4★ standard pool,Normal,98,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-057_f.png
Galaxy V2,2-2-058,Spheal,★2~4 Pokémon,2★-4★ standard pool,"Ice, Water",44,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-058_f.png
Galaxy V2,2-2-059,Sealeo,★2~4 Pokémon,2★-4★ standard pool,"Ice, Water",82,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-059_f.png
Galaxy V2,2-2-060,Walrein,★2~4 Pokémon,2★-4★ standard pool,"Ice, Water",116,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-060_f.png
Galaxy V2,2-2-061,Budew,★2~4 Pokémon,2★-4★ standard pool,"Grass, Poison",40,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-061_f.png
Galaxy V2,2-2-062,Roselia,★2~4 Pokémon,2★-4★ standard pool,"Grass, Poison",76,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-062_f.png
Galaxy V2,2-2-063,Roserade,★2~4 Pokémon,2★-4★ standard pool,"Grass, Poison",108,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-063_f.png
Galaxy V2,2-2-064,Milcery,★2~4 Pokémon,2★-4★ standard pool,Fairy,42,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-064_f.png
Galaxy V2,2-2-065,Alcremie,★2~4 Pokémon,2★-4★ standard pool,Fairy,112,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-065_f.png
Galaxy V2,2-2-066,Elekid,★2~4 Pokémon,2★-4★ standard pool,Electric,50,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-066_f.png
Galaxy V2,2-2-067,Electabuzz,★2~4 Pokémon,2★-4★ standard pool,Electric,96,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-067_f.png
Galaxy V2,2-2-068,Electivire,★2~4 Pokémon,2★-4★ standard pool,Electric,118,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-068_f.png
Galaxy V2,2-2-069,Galarian Meowth,★2~4 Pokémon,2★-4★ standard pool,Steel,42,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-069_f.png
Galaxy V2,2-2-070,Perrserker,★2~4 Pokémon,2★-4★ standard pool,Steel,82,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_2-2-070_f.png
Galaxy V2,R-2-1,Pikachu,Regular Tags,"Regular (series-wide reprint, incl. G-Max forms)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_R-2-1_f.png
Galaxy V2,R-2-2,Charizard,Regular Tags,"Regular (series-wide reprint, incl. G-Max forms)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_R-2-2_f.png
Galaxy V2,R-2-3,Gengar,Regular Tags,"Regular (series-wide reprint, incl. G-Max forms)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260625110000/pm_en_R-2-3_f.png
Galaxy V1,2-1-001,Rillaboom,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-001_f.jpg
Galaxy V1,2-1-002,Cinderace,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-002_f.jpg
Galaxy V1,2-1-003,Inteleon,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-003_f.jpg
Galaxy V1,2-1-004,Pikachu,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-004_f.jpg
Galaxy V1,2-1-005,Raikou,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-005_f.jpg
Galaxy V1,2-1-006,Entei,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-006_f.jpg
Galaxy V1,2-1-007,Suicune,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-007_f.jpg
Galaxy V1,2-1-008,Mewtwo,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-008_f.jpg
Galaxy V1,2-1-009,Arceus,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-009_f.jpg
Galaxy V1,2-1-010,Hisuian Zoroark,Superstar Pokémon,"6★ Superstar (rarest, rainbow lamé)",,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-010_f.jpg
Galaxy V1,2-1-011,Pinsir,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-011_f.jpg
Galaxy V1,2-1-012,Heracross,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-012_f.jpg
Galaxy V1,2-1-013,Keldeo,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-013_f.jpg
Galaxy V1,2-1-014,Weavile,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-014_f.jpg
Galaxy V1,2-1-015,Sirfetch'd,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-015_f.jpg
Galaxy V1,2-1-016,Nidoking,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-016_f.jpg
Galaxy V1,2-1-017,Flygon,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-017_f.jpg
Galaxy V1,2-1-018,Arctovish,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-018_f.jpg
Galaxy V1,2-1-019,Electivire,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-019_f.jpg
Galaxy V1,2-1-020,Magmortar,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-020_f.jpg
Galaxy V1,2-1-021,Toxtricity,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-021_f.jpg
Galaxy V1,2-1-022,Toxtricity,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-022_f.jpg
Galaxy V1,2-1-023,Great Tusk,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-023_f.jpg
Galaxy V1,2-1-024,Vikavolt,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-024_f.jpg
Galaxy V1,2-1-025,Abomasnow,Star Pokémon,5★ Star (holofoil),,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-025_f.jpg
Galaxy V1,2-1-026,Sprigatito,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-026_f.jpg
Galaxy V1,2-1-027,Fuecoco,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-027_f.jpg
Galaxy V1,2-1-028,Quaxly,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-028_f.jpg
Galaxy V1,2-1-029,Charcadet,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-029_f.jpg
Galaxy V1,2-1-030,Frigibax,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-030_f.jpg
Galaxy V1,2-1-031,Pawmi,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-031_f.jpg
Galaxy V1,2-1-032,Grookey,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-032_f.jpg
Galaxy V1,2-1-033,Thwackey,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-033_f.jpg
Galaxy V1,2-1-034,Rillaboom,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-034_f.jpg
Galaxy V1,2-1-035,Scorbunny,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-035_f.jpg
Galaxy V1,2-1-036,Raboot,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-036_f.jpg
Galaxy V1,2-1-037,Cinderace,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-037_f.jpg
Galaxy V1,2-1-038,Sobble,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-038_f.jpg
Galaxy V1,2-1-039,Drizzile,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-039_f.jpg
Galaxy V1,2-1-040,Inteleon,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-040_f.jpg
Galaxy V1,2-1-041,Snover,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-041_f.jpg
Galaxy V1,2-1-042,Abomasnow,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-042_f.jpg
Galaxy V1,2-1-043,Drifloon,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-043_f.jpg
Galaxy V1,2-1-044,Drifblim,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-044_f.jpg
Galaxy V1,2-1-045,Hisuian Zorua,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-045_f.jpg
Galaxy V1,2-1-046,Hisuian Zoroark,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-046_f.jpg
Galaxy V1,2-1-047,Lileep,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-047_f.jpg
Galaxy V1,2-1-048,Cradily,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-048_f.jpg
Galaxy V1,2-1-049,Galarian Farfetch'd,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-049_f.jpg
Galaxy V1,2-1-050,Sirfetch'd,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-050_f.jpg
Galaxy V1,2-1-051,Drilbur,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-051_f.jpg
Galaxy V1,2-1-052,Excadrill,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-052_f.jpg
Galaxy V1,2-1-053,Magby,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-053_f.jpg
Galaxy V1,2-1-054,Magmar,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-054_f.jpg
Galaxy V1,2-1-055,Magmortar,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-055_f.jpg
Galaxy V1,2-1-056,Growlithe,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-056_f.jpg
Galaxy V1,2-1-057,Arcanine,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-057_f.jpg
Galaxy V1,2-1-058,Toxel,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-058_f.jpg
Galaxy V1,2-1-059,Toxtricity,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-059_f.jpg
Galaxy V1,2-1-060,Toxtricity,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-060_f.jpg
Galaxy V1,2-1-061,Gossifleur,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-061_f.jpg
Galaxy V1,2-1-062,Eldegoss,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-062_f.jpg
Galaxy V1,2-1-063,Sneasel,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-063_f.jpg
Galaxy V1,2-1-064,Weavile,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-064_f.jpg
Galaxy V1,2-1-065,Nidoran♀,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-065_f.jpg
Galaxy V1,2-1-066,Nidorina,★2~4 Pokémon,2★-4★ standard pool,,,,,https://webassets-pokemonmezastar.marv.jp/assets/publish/20260330110000/pm_en_2-1-066_f.jpg
